LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN,WS50M,TS,PS,PRECTOT,QV2M
44.25251,38.83211,2000,01,23,              1.30,    5.07,    1.96,  100.58,    3.95,    2.88
44.25251,38.83211,2000,01,24,              1.33,   12.37,    4.72,  100.02,    3.41,    4.01
44.25251,38.83211,2000,01,25,              0.43,    9.15,    4.84,   99.43,   14.40,    4.39
44.25251,38.83211,2000,01,26,              2.28,    4.31,    1.30,  100.41,    0.19,    2.36
44.25251,38.83211,2000,01,27,              1.65,    4.17,    1.68,  100.48,    2.09,    2.79
44.25251,38.83211,2000,01,28,              1.22,    7.21,    3.96,  100.64,   25.27,    4.08
44.25251,38.83211,2000,01,29,              1.55,    7.62,    4.40,  100.89,    7.69,    4.04
44.25251,38.83211,2000,01,30,              2.36,   10.06,    5.19,  100.68,    0.02,    4.26
44.25251,38.83211,2000,01,31,              0.57,    9.42,    5.55,  100.34,   14.78,    5.17
44.25251,38.83211,2000,02,01,              0.65,    8.09,    4.83,  100.25,   22.27,    4.60
44.25251,38.83211,2000,02,02,              2.12,    6.69,    3.76,  101.02,    0.21,    3.57
44.25251,38.83211,2000,02,03,              1.31,   12.43,    5.67,  100.32,    0.24,    4.66
44.25251,38.83211,2000,02,04,              1.26,    5.46,    4.78,  100.58,   21.11,    4.40
44.25251,38.83211,2000,02,05,              2.74,    6.45,    3.13,  100.99,    0.62,    2.89
44.25251,38.83211,2000,02,06,              1.49,    7.27,    4.03,  100.26,    5.12,    3.91
44.25251,38.83211,2000,02,07,              2.93,    4.41,    3.48,  101.00,    0.02,    3.42
44.25251,38.83211,2000,02,08,              1.44,    7.89,    5.09,  100.89,    0.06,    4.32
44.25251,38.83211,2000,02,09,              2.62,    8.75,    6.20,  100.42,    0.00,    4.97
44.25251,38.83211,2000,02,10,              2.18,    7.03,    7.18,  100.80,    0.04,    5.56
44.25251,38.83211,2000,02,11,              1.03,    3.49,    6.08,  100.98,    3.89,    5.32
44.25251,38.83211,2000,02,12,              1.81,    5.26,    5.16,  101.11,    1.30,    4.36
44.25251,38.83211,2000,02,13,              2.85,    5.17,    4.86,  100.53,    0.04,    4.37
44.25251,38.83211,2000,02,14,              2.46,    3.53,    4.99,  100.45,    0.35,    4.42
44.25251,38.83211,2000,02,15,              2.28,    5.35,    5.12,  100.33,    0.42,    4.79
44.25251,38.83211,2000,02,16,              1.90,    5.45,    5.14,  100.15,    0.10,    4.68
44.25251,38.83211,2000,02,17,              2.10,    5.48,    5.19,  100.28,    0.03,    4.69
44.25251,38.83211,2000,02,18,              3.09,    8.14,    6.83,  100.22,    0.02,    5.30
44.25251,38.83211,2000,02,19,              2.27,    8.70,    7.64,   99.67,    2.20,    5.44
44.25251,38.83211,2000,02,20,              2.78,    6.89,    5.77,  100.35,    2.98,    4.48
44.25251,38.83211,2000,02,21,              2.34,    9.96,    6.54,   99.83,    1.08,    4.64
44.25251,38.83211,2000,02,22,              1.09,    5.49,    5.82,   99.80,   32.71,    4.84
44.25251,38.83211,2000,02,23,              1.32,    6.84,    3.07,  100.53,    7.68,    3.34
44.25251,38.83211,2000,02,24,              4.33,    5.09,    1.48,  101.32,    0.00,    2.66
44.25251,38.83211,2000,02,25,              3.48,    4.45,    2.38,  101.09,    0.18,    2.89
44.25251,38.83211,2000,02,26,              1.33,    8.31,    4.26,  100.47,    4.78,    4.05
44.25251,38.83211,2000,02,27,              1.96,    7.39,    3.33,  100.53,    4.09,    3.70
44.25251,38.83211,2000,02,28,              4.10,    6.26,    2.00,  101.79,    0.02,    3.01
44.25251,38.83211,2000,02,29,              4.32,    1.98,    2.77,  101.93,    0.00,    2.99
44.25251,38.83211,2000,03,01,              3.52,    3.26,    3.77,  101.04,    0.00,    3.34
44.25251,38.83211,2000,03,02,              4.38,    4.25,    5.08,  100.59,    0.00,    3.79
44.25251,38.83211,2000,03,03,              4.46,    6.92,    5.75,  100.58,    0.01,    4.46
44.25251,38.83211,2000,03,04,              3.41,    4.90,    6.55,  100.26,    0.01,    5.14
44.25251,38.83211,2000,03,05,              0.99,    7.24,    7.22,  100.30,    0.09,    5.74
44.25251,38.83211,2000,03,06,              0.91,    6.81,    5.98,   99.73,   10.84,    5.14
44.25251,38.83211,2000,03,07,              4.25,    6.35,    3.36,  100.77,    0.21,    3.04
44.25251,38.83211,2000,03,08,              1.37,    6.14,    4.21,  100.77,    0.29,    3.72
44.25251,38.83211,2000,03,09,              1.40,   12.52,    5.60,  100.23,    1.49,    4.54
44.25251,38.83211,2000,03,10,              1.25,   10.50,    6.46,   99.19,   27.13,    5.47
44.25251,38.83211,2000,03,11,              4.02,    6.38,    4.43,  100.25,    5.40,    3.42
44.25251,38.83211,2000,03,12,              2.12,    8.91,    4.38,  100.30,   11.12,    3.94
44.25251,38.83211,2000,03,13,              1.76,    8.34,    4.55,  100.30,    7.04,    4.00
44.25251,38.83211,2000,03,14,              4.22,    5.85,    2.98,  101.44,    0.14,    2.73
44.25251,38.83211,2000,03,15,              4.88,    5.66,    3.74,  101.03,    0.00,    3.22
44.25251,38.83211,2000,03,16,              4.61,    8.59,    6.29,  100.09,    0.03,    4.36
44.25251,38.83211,2000,03,17,              0.80,    5.05,    6.54,   99.45,    2.01,    5.44
44.25251,38.83211,2000,03,18,              1.29,    8.51,    7.52,   98.77,   10.30,    5.60
44.25251,38.83211,2000,03,19,              3.40,    6.68,    5.26,  100.10,    9.31,    4.23
44.25251,38.83211,2000,03,20,              1.64,    5.38,    4.69,  100.08,   10.56,    4.18
44.25251,38.83211,2000,03,21,              4.19,    1.58,    4.97,  100.57,    0.04,    3.13
44.25251,38.83211,2000,03,22,              4.31,    2.86,    5.77,  100.36,    0.02,    3.66
44.25251,38.83211,2000,03,23,              4.40,    5.14,    5.90,  100.28,    0.02,    4.24
44.25251,38.83211,2000,03,24,              4.93,    3.59,    5.51,  100.30,    0.00,    3.90
44.25251,38.83211,2000,03,25,              1.78,    4.99,    5.31,  100.52,    5.68,    4.10
44.25251,38.83211,2000,03,26,              5.33,    3.31,    5.93,  101.15,    0.17,    3.35
44.25251,38.83211,2000,03,27,              3.88,    4.96,    7.85,  100.72,    0.03,    5.10
44.25251,38.83211,2000,03,28,              2.36,    4.77,    8.64,  100.38,    0.15,    5.85
44.25251,38.83211,2000,03,29,              4.24,    4.20,    9.84,  100.48,    0.06,    6.88
44.25251,38.83211,2000,03,30,              3.28,    1.36,    9.66,  100.68,    0.09,    6.41
44.25251,38.83211,2000,03,31,              5.98,    2.46,   10.01,  100.17,    0.00,    5.78
44.25251,38.83211,2000,04,01,              3.18,    4.31,    9.51,  100.22,    0.00,    6.28
44.25251,38.83211,2000,04,02,              4.63,    5.30,   11.59,   99.96,    0.00,    7.18
44.25251,38.83211,2000,04,03,              2.03,    4.23,   10.69,  100.06,    0.53,    7.35
44.25251,38.83211,2000,04,04,              3.34,    2.63,   11.65,  100.20,    0.02,    7.58
44.25251,38.83211,2000,04,05,              4.12,    4.63,   12.32,   99.88,    0.00,    7.60
44.25251,38.83211,2000,04,06,              4.75,    5.68,   12.34,   99.39,    0.07,    8.04
44.25251,38.83211,2000,04,07,              2.37,    4.79,   11.00,   99.19,   11.53,    7.63
44.25251,38.83211,2000,04,08,              4.55,    4.49,    9.53,   99.84,    4.59,    5.50
44.25251,38.83211,2000,04,09,              2.22,    3.73,    8.25,  100.00,    9.78,    5.31
44.25251,38.83211,2000,04,10,              2.69,    5.23,    7.35,  100.37,    5.90,    4.97
44.25251,38.83211,2000,04,11,              5.94,    4.75,    7.64,  100.17,    0.35,    4.72
44.25251,38.83211,2000,04,12,              3.76,    2.27,    8.28,   99.77,    0.03,    5.76
44.25251,38.83211,2000,04,13,              5.64,    4.07,   11.73,   99.61,    0.05,    7.12
44.25251,38.83211,2000,04,14,              2.15,    3.97,   11.76,   99.29,    1.31,    8.14
44.25251,38.83211,2000,04,15,              0.92,    5.70,   11.71,   99.88,    5.83,    8.16
44.25251,38.83211,2000,04,16,              4.11,    2.56,   12.25,  100.20,    2.03,    7.78
44.25251,38.83211,2000,04,17,              5.97,    3.28,   13.12,  100.04,    0.01,    7.57
44.25251,38.83211,2000,04,18,              5.81,    3.50,   14.12,   99.46,    0.01,    7.79
44.25251,38.83211,2000,04,19,              3.99,    3.80,   13.89,   99.01,    0.22,    8.66
44.25251,38.83211,2000,04,20,              4.86,    4.54,   13.40,   98.88,    1.07,    9.09
44.25251,38.83211,2000,04,21,              6.22,    5.50,   12.90,   99.22,    0.15,    8.17
44.25251,38.83211,2000,04,22,              4.10,    3.90,   12.94,   99.48,    0.43,    8.26
44.25251,38.83211,2000,04,23,              3.61,    3.47,   13.28,   99.90,    0.21,    8.50
44.25251,38.83211,2000,04,24,              6.73,    3.80,   14.54,   99.94,    0.03,    8.65
44.25251,38.83211,2000,04,25,              6.22,    2.40,   15.10,   99.95,    0.06,    9.10
44.25251,38.83211,2000,04,26,              5.16,    3.25,   14.90,  100.08,    0.02,    8.65
44.25251,38.83211,2000,04,27,              6.76,    3.60,   15.93,  100.15,    0.00,    9.02
44.25251,38.83211,2000,04,28,              5.92,    4.64,   16.97,   99.89,    0.01,   10.07
44.25251,38.83211,2000,04,29,              4.80,    6.58,   16.36,   99.51,    0.01,   10.11
44.25251,38.83211,2000,04,30,              7.04,    6.81,   15.06,   99.92,    0.02,    8.91
44.25251,38.83211,2000,05,01,              2.25,    4.29,   14.62,  100.00,    1.58,    9.00
44.25251,38.83211,2000,05,02,              2.10,    3.53,   13.15,   99.84,    8.54,    8.44
44.25251,38.83211,2000,05,03,              6.04,    8.33,   10.21,  100.37,    2.29,    4.87
44.25251,38.83211,2000,05,04,              6.98,    5.74,   10.81,  100.80,    0.00,    4.85
44.25251,38.83211,2000,05,05,              6.58,    3.93,   12.32,  100.20,    0.03,    6.26
44.25251,38.83211,2000,05,06,              1.04,    5.24,   12.19,  100.02,   13.58,    7.60
44.25251,38.83211,2000,05,07,              5.35,    6.03,   12.53,  100.35,    4.83,    7.48
44.25251,38.83211,2000,05,08,              4.21,    5.90,   11.78,  100.39,    7.93,    6.27
44.25251,38.83211,2000,05,09,              6.68,    6.13,   12.55,  100.78,    0.24,    6.41
44.25251,38.83211,2000,05,10,              6.52,    6.59,   13.15,  100.77,    0.00,    6.70
44.25251,38.83211,2000,05,11,              7.73,    4.26,   13.28,  100.54,    0.00,    6.38
44.25251,38.83211,2000,05,12,              2.31,    5.49,   13.27,   99.94,    0.15,    7.72
44.25251,38.83211,2000,05,13,              3.97,    4.08,   12.64,  100.19,    1.39,    7.03
44.25251,38.83211,2000,05,14,              8.22,    4.36,   11.54,  100.64,    0.00,    4.94
44.25251,38.83211,2000,05,15,              4.68,    5.41,   12.98,  100.53,    0.09,    6.81
44.25251,38.83211,2000,05,16,              5.79,    4.93,   13.74,  100.40,    0.24,    7.68
44.25251,38.83211,2000,05,17,              5.13,    3.96,   14.04,  100.12,    0.17,    8.26
44.25251,38.83211,2000,05,18,              7.90,    3.50,   13.80,   99.88,    0.00,    7.25
44.25251,38.83211,2000,05,19,              8.49,    2.95,   14.28,   99.82,    0.00,    7.24
44.25251,38.83211,2000,05,20,              8.31,    3.04,   14.51,   99.87,    0.02,    7.06
44.25251,38.83211,2000,05,21,              8.50,    2.13,   15.38,   99.90,    0.00,    7.29
44.25251,38.83211,2000,05,22,              6.60,    3.70,   16.81,  100.03,    0.01,    9.63
44.25251,38.83211,2000,05,23,              8.36,    2.51,   17.75,  100.05,    0.01,    9.45
44.25251,38.83211,2000,05,24,              7.51,    4.05,   18.86,   99.65,    0.00,   10.16
44.25251,38.83211,2000,05,25,              5.02,    2.68,   19.15,   99.38,    2.55,   11.70
44.25251,38.83211,2000,05,26,              6.28,    5.38,   18.43,   99.62,    2.84,   11.65
44.25251,38.83211,2000,05,27,              6.31,    6.30,   18.62,   99.94,    0.48,   11.28
44.25251,38.83211,2000,05,28,              8.17,    3.76,   19.15,  100.10,    0.04,   11.16
44.25251,38.83211,2000,05,29,              6.84,    1.99,   19.07,   99.95,    0.20,   11.66
44.25251,38.83211,2000,05,30,              7.92,    2.48,   19.39,   99.72,    0.06,   11.47
44.25251,38.83211,2000,05,31,              4.73,    2.88,   18.75,   99.74,    0.70,   11.32
44.25251,38.83211,2000,06,01,              6.87,    2.69,   18.44,  100.08,    0.52,   10.93
44.25251,38.83211,2000,06,02,              7.40,    2.56,   19.40,   99.91,    0.08,   11.14
44.25251,38.83211,2000,06,03,              4.08,    4.05,   20.65,   99.65,    0.74,   13.13
44.25251,38.83211,2000,06,04,              0.39,    3.12,   20.43,   99.46,    6.67,   13.12
44.25251,38.83211,2000,06,05,              4.82,    3.47,   19.65,   99.92,    3.37,   12.72
44.25251,38.83211,2000,06,06,              5.17,    2.25,   20.62,   99.83,    0.01,   12.50
44.25251,38.83211,2000,06,07,              4.23,    2.79,   21.10,   99.40,    0.24,   12.79
44.25251,38.83211,2000,06,08,              5.78,    4.23,   19.36,   99.80,    5.65,   12.71
44.25251,38.83211,2000,06,09,              6.85,    5.09,   19.24,  100.33,   15.98,   10.84
44.25251,38.83211,2000,06,10,              7.52,    4.74,   18.07,  100.68,    0.00,    8.38
44.25251,38.83211,2000,06,11,              7.61,    5.25,   17.87,  100.72,    0.00,    8.21
44.25251,38.83211,2000,06,12,              8.81,    5.40,   17.56,  100.88,    0.00,    7.45
44.25251,38.83211,2000,06,13,              8.37,    3.91,   18.88,  100.78,    3.12,    9.37
44.25251,38.83211,2000,06,14,              8.35,    5.64,   19.35,  100.36,    9.40,   10.11
44.25251,38.83211,2000,06,15,              8.70,    3.23,   19.74,  100.30,    0.00,    9.89
44.25251,38.83211,2000,06,16,              8.55,    1.99,   19.92,   99.98,    0.00,   10.78
44.25251,38.83211,2000,06,17,              8.31,    2.77,   20.34,   99.67,    0.19,   11.22
44.25251,38.83211,2000,06,18,              0.45,    6.11,   17.84,   99.81,   11.87,    9.83
44.25251,38.83211,2000,06,19,              5.03,    5.84,   16.54,  100.04,   17.43,    8.22
44.25251,38.83211,2000,06,20,              5.13,    4.96,   16.10,  100.24,   42.51,    8.45
44.25251,38.83211,2000,06,21,              3.94,    8.40,   16.45,  100.29,   10.38,    8.77
44.25251,38.83211,2000,06,22,              4.21,    7.31,   17.49,   99.98,   14.68,    9.95
44.25251,38.83211,2000,06,23,              5.12,    4.23,   17.52,  100.00,    1.38,   10.11
44.25251,38.83211,2000,06,24,              8.02,    3.50,   18.14,   99.97,    0.08,    9.89
44.25251,38.83211,2000,06,25,              5.14,    4.51,   18.81,   99.83,    0.10,   10.81
44.25251,38.83211,2000,06,26,              7.92,    2.59,   20.16,   99.77,    0.08,   11.77
44.25251,38.83211,2000,06,27,              8.48,    1.67,   21.14,   99.55,    0.00,   11.93
44.25251,38.83211,2000,06,28,              5.06,    3.71,   20.73,   99.64,    0.05,   12.41
44.25251,38.83211,2000,06,29,              7.21,    4.81,   19.97,  100.02,    0.00,   10.66
44.25251,38.83211,2000,06,30,              7.95,    3.25,   21.42,   99.84,    0.00,   12.72
44.25251,38.83211,2000,07,01,              4.97,    3.07,   21.68,   99.84,    0.14,   13.60
44.25251,38.83211,2000,07,02,              7.22,    3.20,   22.04,  100.23,    1.72,   12.50
44.25251,38.83211,2000,07,03,              8.13,    4.02,   21.74,  100.12,    0.00,   11.51
44.25251,38.83211,2000,07,04,              8.00,    2.84,   21.65,  100.02,    0.00,   11.53
44.25251,38.83211,2000,07,05,              6.70,    3.84,   21.98,   99.93,    0.01,   13.06
44.25251,38.83211,2000,07,06,              6.48,    4.68,   22.68,   99.58,    0.41,   14.74
44.25251,38.83211,2000,07,07,              6.50,    3.31,   22.26,   99.50,    0.00,   12.02
44.25251,38.83211,2000,07,08,              7.18,    3.97,   21.76,   99.61,    1.27,   12.00
44.25251,38.83211,2000,07,09,              7.55,    4.85,   22.45,   99.47,    0.11,   12.70
44.25251,38.83211,2000,07,10,              4.35,    5.43,   23.67,   98.84,    0.01,   14.42
44.25251,38.83211,2000,07,11,              7.74,    3.68,   23.09,   99.51,    0.01,   12.56
44.25251,38.83211,2000,07,12,              8.12,    2.79,   23.12,   99.85,    0.00,   11.40
44.25251,38.83211,2000,07,13,              8.21,    3.24,   24.56,   99.42,    0.00,   12.23
44.25251,38.83211,2000,07,14,              7.72,    4.29,   24.37,   98.88,    0.00,   14.03
44.25251,38.83211,2000,07,15,              4.49,    2.81,   24.01,   99.26,    0.90,   14.03
44.25251,38.83211,2000,07,16,              7.90,    3.17,   24.43,   99.34,    0.01,   14.30
44.25251,38.83211,2000,07,17,              7.78,    3.09,   24.95,   99.66,    0.00,   13.49
44.25251,38.83211,2000,07,18,              5.33,    4.28,   24.50,   99.71,    1.82,   12.97
44.25251,38.83211,2000,07,19,              5.76,    4.25,   23.29,   99.45,    3.22,   13.95
44.25251,38.83211,2000,07,20,              4.71,    3.61,   24.35,   99.27,    0.59,   14.26
44.25251,38.83211,2000,07,21,              4.22,    3.05,   24.86,   99.71,    0.71,   14.50
44.25251,38.83211,2000,07,22,              7.20,    3.29,   26.06,   99.59,    0.00,   15.25
44.25251,38.83211,2000,07,23,              5.96,    4.23,   24.34,   99.56,    0.13,   14.85
44.25251,38.83211,2000,07,24,              6.91,    4.28,   23.70,  100.05,    0.42,   12.92
44.25251,38.83211,2000,07,25,              7.93,    2.74,   24.62,  100.24,    0.01,   11.63
44.25251,38.83211,2000,07,26,              7.70,    2.63,   25.57,  100.03,    0.00,   12.81
44.25251,38.83211,2000,07,27,              6.79,    2.13,   25.37,   99.68,    0.00,   13.60
44.25251,38.83211,2000,07,28,              7.05,    3.74,   24.61,   99.56,    0.00,   13.78
44.25251,38.83211,2000,07,29,              7.99,    2.21,   25.23,   99.82,    0.00,   11.68
44.25251,38.83211,2000,07,30,              7.75,    3.27,   27.70,   99.56,    0.00,   11.52
44.25251,38.83211,2000,07,31,              6.10,    3.37,   26.93,   99.28,    0.00,   13.43
44.25251,38.83211,2000,08,01,              3.44,    3.06,   25.76,   99.45,    0.35,   15.08
44.25251,38.83211,2000,08,02,              3.41,    4.50,   24.41,   99.33,    6.69,   13.70
44.25251,38.83211,2000,08,03,              4.30,    4.40,   23.13,   99.58,   21.89,   14.27
44.25251,38.83211,2000,08,04,              7.50,    6.96,   23.98,  100.13,    0.01,   11.18
44.25251,38.83211,2000,08,05,              7.66,    6.07,   24.55,  100.07,    0.00,   11.09
44.25251,38.83211,2000,08,06,              7.46,    4.27,   25.24,   99.95,    0.00,   12.28
44.25251,38.83211,2000,08,07,              7.14,    5.19,   25.61,   99.93,    0.00,   12.28
44.25251,38.83211,2000,08,08,              7.54,    3.08,   25.87,   99.79,    0.00,   13.40
44.25251,38.83211,2000,08,09,              6.69,    2.96,   25.21,   99.82,    0.00,   13.75
44.25251,38.83211,2000,08,10,              6.86,    2.85,   25.16,   99.95,    0.00,   13.31
44.25251,38.83211,2000,08,11,              5.99,    6.42,   25.58,   99.81,    0.00,   12.59
44.25251,38.83211,2000,08,12,              6.39,    5.09,   25.34,   99.61,    0.01,   12.09
44.25251,38.83211,2000,08,13,              5.52,    3.19,   25.36,   99.63,    0.30,   14.72
44.25251,38.83211,2000,08,14,              5.95,    3.90,   24.72,   99.88,    1.40,   14.50
44.25251,38.83211,2000,08,15,              6.63,    4.87,   25.34,   99.99,    0.00,   11.88
44.25251,38.83211,2000,08,16,              6.93,    4.43,   25.33,   99.96,    0.01,   10.91
44.25251,38.83211,2000,08,17,              6.28,    3.15,   25.50,   99.81,    0.00,   11.62
44.25251,38.83211,2000,08,18,              6.19,    2.27,   25.80,   99.87,    0.04,   12.21
44.25251,38.83211,2000,08,19,              6.56,    3.79,   26.54,  100.07,    0.09,   12.18
44.25251,38.83211,2000,08,20,              6.67,    6.14,   26.55,   99.94,    0.41,   11.01
44.25251,38.83211,2000,08,21,              6.71,    6.17,   26.42,   99.96,    0.81,   11.47
44.25251,38.83211,2000,08,22,              6.53,    3.61,   26.94,   99.97,    0.00,   12.20
44.25251,38.83211,2000,08,23,              6.38,    2.57,   26.57,   99.87,    2.59,   13.20
44.25251,38.83211,2000,08,24,              5.24,    3.31,   26.03,   99.67,    3.41,   13.06
44.25251,38.83211,2000,08,25,              5.77,    6.12,   24.11,   99.58,    0.07,   10.85
44.25251,38.83211,2000,08,26,              5.22,    2.86,   23.30,   99.47,    0.09,   12.16
44.25251,38.83211,2000,08,27,              1.61,    4.23,   22.20,   99.50,   18.10,   12.77
44.25251,38.83211,2000,08,28,              2.05,    8.49,   20.96,   99.76,   22.37,   11.07
44.25251,38.83211,2000,08,29,              3.46,    6.64,   20.87,   99.52,   38.96,   12.27
44.25251,38.83211,2000,08,30,              4.69,    4.71,   20.54,   99.51,    8.88,   11.46
44.25251,38.83211,2000,08,31,              3.24,    5.83,   20.44,   99.67,   26.10,   11.54
44.25251,38.83211,2000,09,01,              4.11,    2.51,   20.03,   99.95,    2.03,   10.07
44.25251,38.83211,2000,09,02,              5.71,    2.77,   20.66,   99.57,    0.00,   10.29
44.25251,38.83211,2000,09,03,              2.51,    2.64,   21.11,   99.45,    0.52,   10.97
44.25251,38.83211,2000,09,04,              5.84,    2.61,   21.05,   99.84,    0.01,   11.46
44.25251,38.83211,2000,09,05,              6.00,    1.93,   21.38,   99.76,    0.00,   10.50
44.25251,38.83211,2000,09,06,              5.97,    2.96,   22.05,   98.96,    0.04,   11.87
44.25251,38.83211,2000,09,07,              3.50,    6.18,   21.51,   99.29,    0.87,   11.53
44.25251,38.83211,2000,09,08,              5.25,    3.86,   20.14,  100.28,    0.04,    9.71
44.25251,38.83211,2000,09,09,              5.08,    3.52,   20.00,  100.85,    0.11,    9.19
44.25251,38.83211,2000,09,10,              5.19,    5.32,   20.11,  100.80,    0.05,    9.65
44.25251,38.83211,2000,09,11,              5.23,    2.90,   20.73,  100.21,    0.00,   10.09
44.25251,38.83211,2000,09,12,              5.37,    3.32,   21.26,   99.50,    0.03,   11.21
44.25251,38.83211,2000,09,13,              4.53,    5.26,   20.56,   99.86,    0.13,    9.28
44.25251,38.83211,2000,09,14,              5.47,    3.26,   19.82,  100.19,    0.00,    8.47
44.25251,38.83211,2000,09,15,              4.88,    2.63,   20.04,   99.92,    0.33,    9.76
44.25251,38.83211,2000,09,16,              1.65,    4.69,   19.84,  100.05,    2.41,   10.24
44.25251,38.83211,2000,09,17,              5.52,    4.32,   19.29,  100.29,    0.01,    7.56
44.25251,38.83211,2000,09,18,              5.28,    2.31,   19.85,  100.19,    0.00,    8.94
44.25251,38.83211,2000,09,19,              4.93,    2.34,   20.35,  100.24,    0.01,   11.53
44.25251,38.83211,2000,09,20,              2.26,    2.96,   20.83,  100.04,    2.34,   12.59
44.25251,38.83211,2000,09,21,              4.05,    4.58,   21.16,   99.99,    2.68,   12.49
44.25251,38.83211,2000,09,22,              3.32,    4.58,   19.99,  100.11,    2.94,   10.62
44.25251,38.83211,2000,09,23,              3.09,    7.41,   17.90,  100.29,    0.01,    7.76
44.25251,38.83211,2000,09,24,              3.77,    8.32,   17.92,  100.03,    0.00,    7.92
44.25251,38.83211,2000,09,25,              2.90,    3.43,   18.83,  100.03,    0.57,   10.17
44.25251,38.83211,2000,09,26,              3.00,    4.00,   17.75,  100.09,    4.53,    9.15
44.25251,38.83211,2000,09,27,              3.70,    4.86,   17.16,  100.20,    0.48,    8.12
44.25251,38.83211,2000,09,28,              4.34,    6.79,   17.15,  100.39,    0.00,    7.40
44.25251,38.83211,2000,09,29,              3.59,    6.13,   17.38,  100.09,    0.00,    8.15
44.25251,38.83211,2000,09,30,              3.56,    4.65,   18.06,  100.27,    0.02,    8.45
44.25251,38.83211,2000,10,01,              3.10,    4.98,   17.74,  100.67,    0.00,    8.28
44.25251,38.83211,2000,10,02,              4.78,    5.66,   18.02,  100.85,    0.00,    7.51
44.25251,38.83211,2000,10,03,              4.73,    5.58,   18.78,  100.84,    0.00,    8.51
44.25251,38.83211,2000,10,04,              4.55,    5.81,   18.41,  100.64,    0.00,    8.20
44.25251,38.83211,2000,10,05,              4.58,    2.86,   18.30,  100.54,    0.00,    9.34
44.25251,38.83211,2000,10,06,              4.41,    3.28,   18.36,  100.40,    0.00,    8.99
44.25251,38.83211,2000,10,07,              3.84,    5.18,   18.26,  100.17,    0.00,    8.59
44.25251,38.83211,2000,10,08,              1.15,    5.49,   17.49,   99.93,    0.78,    8.98
44.25251,38.83211,2000,10,09,              1.51,    3.17,   18.04,   99.79,   17.06,   11.67
44.25251,38.83211,2000,10,10,              2.66,    2.90,   18.37,   99.68,    0.51,   10.45
44.25251,38.83211,2000,10,11,              0.93,    4.68,   18.69,   99.77,    8.26,   11.87
44.25251,38.83211,2000,10,12,              1.63,    3.38,   17.90,  100.44,   15.20,   10.27
44.25251,38.83211,2000,10,13,              2.87,    5.97,   16.43,  100.72,    0.54,    8.28
44.25251,38.83211,2000,10,14,              3.72,    7.72,   15.66,  100.66,    0.00,    6.64
44.25251,38.83211,2000,10,15,              3.52,    2.53,   15.25,  100.80,    0.00,    7.52
44.25251,38.83211,2000,10,16,              2.97,    3.33,   15.36,  100.69,    0.43,    6.83
44.25251,38.83211,2000,10,17,              3.26,    6.29,   14.53,  100.79,    0.04,    6.46
44.25251,38.83211,2000,10,18,              2.70,    7.69,   12.86,  100.73,    0.53,    5.68
44.25251,38.83211,2000,10,19,              2.91,    8.85,   11.72,  100.91,    0.15,    5.15
44.25251,38.83211,2000,10,20,              3.12,   10.23,   12.24,  101.03,    0.01,    5.19
44.25251,38.83211,2000,10,21,              2.00,   10.36,   11.82,  100.77,    0.37,    5.37
