LAT,LON,YEAR,MO,DY,PRECTOT,QV2M,PS,T2M,WS50M,ALLSKY_SFC_SW_DWN
44.25301,38.83041,1990,01,22,    4.45,    4.13,  100.51,    3.20,    5.17,              1.00
44.25301,38.83041,1990,01,23,    2.90,    4.20,  100.61,    2.97,    5.29,              1.44
44.25301,38.83041,1990,01,24,    0.14,    3.66,  101.33,    1.62,    5.07,              1.88
44.25301,38.83041,1990,01,25,    0.19,    4.29,  101.24,    3.96,    6.61,              2.30
44.25301,38.83041,1990,01,26,    0.00,    4.75,  101.14,    5.52,    7.01,              2.49
44.25301,38.83041,1990,01,27,    0.00,    4.84,  100.61,    5.44,    5.24,              2.72
44.25301,38.83041,1990,01,28,    1.37,    4.92,  100.92,    5.28,    5.38,              1.00
44.25301,38.83041,1990,01,29,    0.33,    4.01,  101.39,    5.23,    2.78,              2.70
44.25301,38.83041,1990,01,30,    1.52,    5.17,  100.64,    5.71,    7.46,              0.63
44.25301,38.83041,1990,01,31,    1.57,    5.56,  100.55,    6.52,    4.74,              0.87
44.25301,38.83041,1990,02,01,    0.05,    4.57,  100.79,    4.69,    4.52,              1.16
44.25301,38.83041,1990,02,02,    0.01,    3.85,  100.73,    2.55,    6.60,              1.73
44.25301,38.83041,1990,02,03,    0.00,    3.52,  100.99,    2.02,    4.63,              1.58
44.25301,38.83041,1990,02,04,    0.00,    3.30,  101.40,    2.10,    2.15,              1.23
44.25301,38.83041,1990,02,05,    0.06,    3.52,  100.89,    2.60,    1.75,              0.84
44.25301,38.83041,1990,02,06,    0.02,    3.87,  101.02,    3.75,    4.95,              2.58
44.25301,38.83041,1990,02,07,    0.00,    3.58,  101.39,    2.45,    4.64,              2.79
44.25301,38.83041,1990,02,08,    0.00,    3.30,  101.32,    2.37,    1.22,              2.79
44.25301,38.83041,1990,02,09,    0.01,    3.79,  100.57,    2.96,    2.21,              1.92
44.25301,38.83041,1990,02,10,    0.08,    3.61,  100.19,    1.96,    2.70,              1.32
44.25301,38.83041,1990,02,11,    0.06,    3.65,  100.30,    3.08,    2.46,              1.42
44.25301,38.83041,1990,02,12,    0.72,    4.52,   99.75,    5.34,    5.57,              1.49
44.25301,38.83041,1990,02,13,    0.41,    5.79,   99.43,    6.99,    7.38,              1.70
44.25301,38.83041,1990,02,14,    0.04,    5.75,   98.52,    9.20,    9.37,              0.70
44.25301,38.83041,1990,02,15,    3.05,    5.69,   98.67,    6.66,    5.89,              0.88
44.25301,38.83041,1990,02,16,   15.42,    5.65,   98.43,    6.78,   11.41,              0.60
44.25301,38.83041,1990,02,17,    2.06,    3.68,   99.79,    4.19,    4.89,              2.66
44.25301,38.83041,1990,02,18,    0.05,    3.66,  100.25,    2.86,    7.43,              3.01
44.25301,38.83041,1990,02,19,    0.17,    3.66,  100.80,    1.85,    7.21,              2.94
44.25301,38.83041,1990,02,20,    0.11,    3.46,  101.17,    2.41,    7.57,              2.54
44.25301,38.83041,1990,02,21,    0.00,    2.96,  101.51,    0.51,   11.00,              3.58
44.25301,38.83041,1990,02,22,    0.00,    2.90,  101.59,    1.55,    5.48,              3.80
44.25301,38.83041,1990,02,23,    2.38,    4.36,  100.96,    4.22,    5.45,              2.65
44.25301,38.83041,1990,02,24,    1.90,    4.73,  100.47,    4.69,    3.95,              1.30
44.25301,38.83041,1990,02,25,    0.61,    5.31,  100.68,    5.66,    6.41,              3.03
44.25301,38.83041,1990,02,26,    0.01,    5.28,  100.50,    7.03,    8.58,              3.88
44.25301,38.83041,1990,02,27,    0.00,    5.36,   99.39,    8.39,    9.54,              4.35
44.25301,38.83041,1990,02,28,    0.11,    5.87,   98.60,    9.03,   10.03,              2.00
44.25301,38.83041,1990,03,01,    7.23,    5.85,   98.88,    7.78,    8.27,              0.99
44.25301,38.83041,1990,03,02,    9.43,    5.23,   99.93,    5.91,    7.19,              1.57
44.25301,38.83041,1990,03,03,    4.26,    5.21,  100.77,    5.83,    4.44,              1.78
44.25301,38.83041,1990,03,04,    1.88,    3.72,  101.05,    2.87,    5.49,              3.06
44.25301,38.83041,1990,03,05,    1.95,    3.08,  101.19,    2.13,    7.38,              2.17
44.25301,38.83041,1990,03,06,    5.22,    4.31,  100.95,    4.01,    8.22,              2.75
44.25301,38.83041,1990,03,07,    1.76,    4.42,  100.09,    5.48,    9.56,              3.43
44.25301,38.83041,1990,03,08,    4.92,    4.23,  101.09,    4.77,    6.63,              4.41
44.25301,38.83041,1990,03,09,    0.00,    4.20,  101.46,    6.18,    9.79,              3.97
44.25301,38.83041,1990,03,10,    0.54,    5.06,  100.23,    8.45,    7.98,              4.08
44.25301,38.83041,1990,03,11,    3.53,    4.22,  100.52,    4.51,    5.66,              3.64
44.25301,38.83041,1990,03,12,    0.00,    3.82,  100.97,    4.50,    6.96,              3.00
44.25301,38.83041,1990,03,13,    0.24,    4.71,  100.55,    6.34,    7.24,              1.62
44.25301,38.83041,1990,03,14,    0.18,    4.33,  100.89,    5.39,    5.36,              4.04
44.25301,38.83041,1990,03,15,    0.08,    2.54,  102.22,   -0.17,    8.72,              3.74
44.25301,38.83041,1990,03,16,    0.00,    2.56,  102.91,    0.50,    8.24,              4.79
44.25301,38.83041,1990,03,17,    0.00,    2.92,  102.59,    2.12,    3.68,              4.33
44.25301,38.83041,1990,03,18,    0.05,    3.86,  101.92,    4.27,    6.17,              2.17
44.25301,38.83041,1990,03,19,    0.04,    4.66,  101.79,    6.42,    5.22,              4.53
44.25301,38.83041,1990,03,20,    0.00,    4.14,  101.61,    6.75,    2.73,              4.98
44.25301,38.83041,1990,03,21,    0.00,    4.82,  100.94,    7.88,    2.15,              5.31
44.25301,38.83041,1990,03,22,    0.00,    5.21,  100.70,    8.10,    2.36,              3.90
44.25301,38.83041,1990,03,23,    0.01,    5.41,  100.36,    8.01,    2.07,              3.95
44.25301,38.83041,1990,03,24,    0.16,    5.45,  100.46,    6.97,    2.58,              2.66
44.25301,38.83041,1990,03,25,    0.02,    5.37,  100.77,    6.58,    3.97,              3.56
44.25301,38.83041,1990,03,26,    0.00,    5.86,  100.51,   10.22,    3.09,              3.78
44.25301,38.83041,1990,03,27,    0.00,    6.61,  100.48,   13.12,    4.74,              4.68
44.25301,38.83041,1990,03,28,    0.00,    7.01,  100.51,   13.01,    5.27,              4.68
44.25301,38.83041,1990,03,29,    0.00,    6.42,  100.49,   10.73,    8.09,              4.48
44.25301,38.83041,1990,03,30,    0.00,    4.50,  100.53,    7.33,    9.89,              5.89
44.25301,38.83041,1990,03,31,    1.70,    4.91,  100.26,    6.41,    3.61,              4.00
44.25301,38.83041,1990,04,01,    3.64,    4.03,  100.06,    5.39,    6.03,              4.30
44.25301,38.83041,1990,04,02,    0.00,    4.49,  100.43,    7.77,    3.81,              5.67
44.25301,38.83041,1990,04,03,    0.00,    5.05,  100.45,    9.14,    2.46,              6.05
44.25301,38.83041,1990,04,04,    0.00,    5.43,  100.29,    8.83,    1.99,              6.11
44.25301,38.83041,1990,04,05,    0.00,    5.42,  100.13,    8.74,    1.69,              4.66
44.25301,38.83041,1990,04,06,    0.00,    5.56,  100.15,    8.71,    1.74,              4.47
44.25301,38.83041,1990,04,07,    0.00,    5.62,  100.43,    9.11,    1.66,              4.37
44.25301,38.83041,1990,04,08,    0.00,    6.10,   99.95,   10.79,    4.63,              6.31
44.25301,38.83041,1990,04,09,    0.53,    7.03,   99.40,   10.97,    3.96,              2.53
44.25301,38.83041,1990,04,10,    0.57,    6.86,   99.62,   10.02,    4.90,              3.55
44.25301,38.83041,1990,04,11,    6.01,    7.71,   98.62,   12.02,    8.05,              1.44
44.25301,38.83041,1990,04,12,    3.55,    6.47,   99.13,    8.88,    3.62,              2.55
44.25301,38.83041,1990,04,13,    0.14,    5.34,   99.84,    8.40,    2.55,              2.50
44.25301,38.83041,1990,04,14,    0.01,    6.20,   99.85,   10.16,    4.63,              4.32
44.25301,38.83041,1990,04,15,    0.04,    6.25,   99.97,   10.71,    4.51,              3.79
44.25301,38.83041,1990,04,16,    0.09,    6.51,  100.20,   10.54,    3.47,              4.75
44.25301,38.83041,1990,04,17,    0.00,    6.58,  100.14,   11.38,    3.30,              5.28
44.25301,38.83041,1990,04,18,    0.07,    6.10,   99.98,   12.20,    4.62,              6.13
44.25301,38.83041,1990,04,19,    0.02,    6.67,  100.40,   11.02,    3.85,              4.84
44.25301,38.83041,1990,04,20,    0.01,    6.51,  100.05,   12.54,    3.84,              5.02
44.25301,38.83041,1990,04,21,    0.22,    6.61,   99.68,   12.92,    4.63,              3.90
44.25301,38.83041,1990,04,22,    1.97,    7.24,  100.35,   10.79,    4.42,              2.10
44.25301,38.83041,1990,04,23,    0.10,    7.61,  100.34,   11.99,    4.81,              5.01
44.25301,38.83041,1990,04,24,    0.49,    7.81,  100.40,   13.00,    3.53,              2.38
44.25301,38.83041,1990,04,25,    0.33,    8.36,  100.10,   13.57,    5.55,              2.35
44.25301,38.83041,1990,04,26,    8.82,    8.78,   99.90,   13.45,    5.08,              1.61
44.25301,38.83041,1990,04,27,   11.58,    8.82,   99.35,   12.94,    6.61,              0.97
44.25301,38.83041,1990,04,28,    1.24,    6.88,   99.75,   10.93,    3.21,              4.63
44.25301,38.83041,1990,04,29,    0.06,    6.49,   99.98,   11.34,    2.34,              4.98
44.25301,38.83041,1990,04,30,    0.38,    6.59,  100.10,   11.62,    3.24,              4.09
44.25301,38.83041,1990,05,01,    9.77,    7.33,   99.56,   11.60,    2.71,              1.41
44.25301,38.83041,1990,05,02,   24.05,    7.32,   99.00,   10.38,    3.30,              1.43
44.25301,38.83041,1990,05,03,    4.53,    6.80,   99.89,    9.86,    4.52,              2.36
44.25301,38.83041,1990,05,04,    0.17,    5.80,  100.16,   10.28,    3.37,              4.25
44.25301,38.83041,1990,05,05,    0.07,    6.76,  100.00,   12.16,    3.63,              5.82
44.25301,38.83041,1990,05,06,    5.15,    7.07,  100.13,   10.55,    3.13,              4.07
44.25301,38.83041,1990,05,07,    0.39,    6.93,  100.57,   11.50,    2.66,              5.35
44.25301,38.83041,1990,05,08,    0.00,    6.80,  100.39,   12.41,    2.13,              6.85
44.25301,38.83041,1990,05,09,    0.00,    7.45,  100.22,   14.38,    2.78,              6.50
44.25301,38.83041,1990,05,10,    0.05,    8.65,   99.72,   15.53,    6.03,              6.32
44.25301,38.83041,1990,05,11,    2.96,    8.79,   99.37,   13.78,    6.26,              1.92
44.25301,38.83041,1990,05,12,    0.84,    8.04,   99.90,   13.71,    5.69,              4.57
44.25301,38.83041,1990,05,13,    0.89,    8.83,   99.95,   16.19,    5.24,              5.55
44.25301,38.83041,1990,05,14,    0.04,    7.95,  100.17,   15.55,    7.64,              7.91
44.25301,38.83041,1990,05,15,    0.00,    7.92,  100.35,   15.19,    4.38,              7.46
44.25301,38.83041,1990,05,16,    0.32,    9.01,  100.20,   16.85,    3.84,              8.22
44.25301,38.83041,1990,05,17,    0.75,    9.53,   99.84,   17.68,    3.09,              7.05
44.25301,38.83041,1990,05,18,    4.42,   10.02,   99.93,   15.39,    2.56,              3.10
44.25301,38.83041,1990,05,19,    1.03,    9.77,  100.15,   15.54,    4.31,              4.33
44.25301,38.83041,1990,05,20,    0.84,    7.71,  100.31,   13.77,    5.23,              2.72
44.25301,38.83041,1990,05,21,    0.03,    5.48,  100.87,   12.05,    5.98,              7.04
44.25301,38.83041,1990,05,22,    0.00,    6.75,  100.71,   13.52,    3.62,              7.04
44.25301,38.83041,1990,05,23,    0.00,    7.97,  100.59,   15.21,    2.30,              7.59
44.25301,38.83041,1990,05,24,    0.00,    8.49,  100.62,   16.75,    1.93,              7.27
44.25301,38.83041,1990,05,25,    0.01,    8.61,  100.61,   17.02,    1.91,              7.35
44.25301,38.83041,1990,05,26,    0.17,    9.04,  100.38,   16.89,    2.10,              6.82
44.25301,38.83041,1990,05,27,    0.00,    9.41,  100.13,   19.79,    2.43,              6.22
44.25301,38.83041,1990,05,28,    0.03,   10.39,   99.72,   18.62,    4.72,              5.36
44.25301,38.83041,1990,05,29,    0.43,    8.90,  100.35,   15.79,    3.36,              4.38
44.25301,38.83041,1990,05,30,    0.03,    9.26,  100.15,   16.65,    2.24,              5.33
44.25301,38.83041,1990,05,31,    0.29,   10.58,   99.87,   18.18,    3.65,              3.31
44.25301,38.83041,1990,06,01,    2.42,   11.83,   99.19,   20.23,    4.63,              4.32
44.25301,38.83041,1990,06,02,    0.27,   11.37,   98.96,   18.06,    4.68,              4.75
44.25301,38.83041,1990,06,03,    1.67,    8.36,   99.69,   14.56,    5.08,              4.59
44.25301,38.83041,1990,06,04,    1.05,    7.92,  100.34,   15.51,    4.89,              6.09
44.25301,38.83041,1990,06,05,    0.00,    8.14,  100.35,   17.17,    3.22,              6.20
44.25301,38.83041,1990,06,06,    0.00,    9.16,  100.34,   17.06,    5.25,              5.59
44.25301,38.83041,1990,06,07,    0.05,   10.95,  100.06,   18.84,    5.57,              5.09
44.25301,38.83041,1990,06,08,    0.01,   10.46,   99.74,   20.10,    3.15,              6.26
44.25301,38.83041,1990,06,09,    0.06,   10.76,   99.22,   22.22,    3.31,              5.72
44.25301,38.83041,1990,06,10,    0.03,   11.93,   99.58,   19.79,    4.49,              6.09
44.25301,38.83041,1990,06,11,    0.01,    9.95,   99.60,   22.10,    1.80,              8.26
44.25301,38.83041,1990,06,12,    0.03,    9.14,   99.43,   20.27,    4.32,              6.27
44.25301,38.83041,1990,06,13,    0.00,    9.25,   99.63,   18.59,    6.17,              6.47
44.25301,38.83041,1990,06,14,    1.56,    9.44,   99.44,   18.78,    4.24,              5.33
44.25301,38.83041,1990,06,15,    1.03,    9.63,   99.52,   19.13,    4.33,              5.98
44.25301,38.83041,1990,06,16,    0.75,    9.63,   99.73,   18.91,    4.35,              5.87
44.25301,38.83041,1990,06,17,    1.57,    9.21,   99.61,   19.50,    3.88,              6.80
44.25301,38.83041,1990,06,18,    0.15,    9.34,   99.46,   21.04,    4.73,              6.57
44.25301,38.83041,1990,06,19,    0.35,   10.16,   99.81,   21.18,    5.99,              4.99
44.25301,38.83041,1990,06,20,    0.97,   10.00,  100.04,   20.98,    5.66,              6.72
44.25301,38.83041,1990,06,21,    9.21,    9.76,  100.10,   19.64,    3.02,              5.87
44.25301,38.83041,1990,06,22,    0.01,   10.50,  100.12,   19.89,    3.81,              6.71
44.25301,38.83041,1990,06,23,    0.07,   10.51,   99.99,   22.01,    2.78,              6.71
44.25301,38.83041,1990,06,24,    0.30,   11.32,   99.92,   22.44,    4.12,              6.46
44.25301,38.83041,1990,06,25,    2.86,   11.18,   99.65,   20.53,    3.88,              3.30
44.25301,38.83041,1990,06,26,    5.37,    9.46,   99.48,   17.60,    3.97,              4.77
44.25301,38.83041,1990,06,27,   20.93,   10.49,   99.32,   17.19,    5.30,              4.32
44.25301,38.83041,1990,06,28,    3.72,   10.19,   99.75,   17.25,    2.73,              2.22
44.25301,38.83041,1990,06,29,    0.58,   10.44,  100.24,   21.01,    3.21,              6.47
44.25301,38.83041,1990,06,30,    0.00,   10.63,  100.10,   22.33,    5.20,              7.74
44.25301,38.83041,1990,07,01,    0.00,   11.06,   99.74,   22.97,    4.49,              7.02
44.25301,38.83041,1990,07,02,    0.00,   11.28,   99.57,   23.45,    3.76,              7.79
44.25301,38.83041,1990,07,03,    0.01,   11.36,   99.67,   24.06,    3.24,              6.93
44.25301,38.83041,1990,07,04,    0.00,   11.74,   99.62,   25.33,    3.58,              7.59
44.25301,38.83041,1990,07,05,    0.00,   12.34,   99.28,   25.34,    2.44,              7.58
44.25301,38.83041,1990,07,06,    0.00,   13.13,   99.22,   24.03,    2.95,              6.60
44.25301,38.83041,1990,07,07,    0.10,   13.24,   99.49,   22.55,    3.02,              4.64
44.25301,38.83041,1990,07,08,    0.01,   11.99,   99.80,   24.10,    2.59,              6.97
44.25301,38.83041,1990,07,09,    0.37,   13.47,   99.57,   26.28,    4.46,              6.33
44.25301,38.83041,1990,07,10,    1.87,   14.09,   99.68,   24.89,    3.64,              4.52
44.25301,38.83041,1990,07,11,    0.05,   12.80,   99.88,   25.30,    6.33,              7.51
44.25301,38.83041,1990,07,12,    0.00,   10.93,   99.76,   25.37,    6.77,              7.78
44.25301,38.83041,1990,07,13,    0.01,   10.29,   99.47,   24.96,    6.93,              7.95
44.25301,38.83041,1990,07,14,    0.00,   10.28,   99.46,   24.05,    3.91,              7.01
44.25301,38.83041,1990,07,15,    0.06,   13.31,   99.73,   24.03,    3.40,              6.41
44.25301,38.83041,1990,07,16,    0.07,   11.06,  100.24,   23.92,    5.63,              5.75
44.25301,38.83041,1990,07,17,    0.02,   11.43,  100.03,   22.89,    6.65,              5.91
44.25301,38.83041,1990,07,18,    0.05,   12.28,   99.81,   23.48,    3.02,              6.48
44.25301,38.83041,1990,07,19,    0.00,   13.14,   99.63,   24.44,    1.99,              6.01
44.25301,38.83041,1990,07,20,    0.00,   13.62,   99.64,   25.23,    2.99,              6.10
44.25301,38.83041,1990,07,21,    0.09,   13.44,   99.47,   26.34,    4.45,              5.95
44.25301,38.83041,1990,07,22,    0.02,   11.14,   99.49,   25.33,    5.74,              6.37
44.25301,38.83041,1990,07,23,    0.00,   10.58,   99.84,   23.89,    4.03,              6.22
44.25301,38.83041,1990,07,24,    0.00,   10.68,  100.10,   24.21,    3.51,              7.40
44.25301,38.83041,1990,07,25,    0.00,    9.87,   99.87,   25.39,    5.31,              6.79
44.25301,38.83041,1990,07,26,    0.00,   11.30,   99.46,   25.24,    2.93,              6.01
44.25301,38.83041,1990,07,27,    0.03,   11.26,   99.53,   23.86,    5.00,              6.05
44.25301,38.83041,1990,07,28,    0.15,    9.11,   99.70,   22.99,    4.00,              5.67
44.25301,38.83041,1990,07,29,    0.07,    8.72,   99.81,   22.25,    6.04,              6.18
44.25301,38.83041,1990,07,30,    4.45,    9.03,  100.21,   21.09,    4.34,              7.07
44.25301,38.83041,1990,07,31,    0.00,    8.19,  100.45,   20.63,    3.45,              6.33
44.25301,38.83041,1990,08,01,    0.54,   11.18,  100.39,   21.38,    3.26,              5.66
44.25301,38.83041,1990,08,02,    0.00,   10.06,  100.12,   22.11,    2.97,              7.02
44.25301,38.83041,1990,08,03,    1.13,   11.50,   99.98,   21.82,    3.64,              4.47
44.25301,38.83041,1990,08,04,    4.80,   11.68,  100.13,   21.05,    5.21,              5.53
44.25301,38.83041,1990,08,05,    0.09,   10.23,  100.18,   21.78,    3.89,              5.48
44.25301,38.83041,1990,08,06,   10.20,   11.06,   99.54,   20.82,    6.50,              1.22
44.25301,38.83041,1990,08,07,   18.80,   12.12,   99.70,   19.51,    3.75,              2.54
44.25301,38.83041,1990,08,08,    0.87,   10.49,  100.01,   21.34,    7.82,              6.94
44.25301,38.83041,1990,08,09,    0.00,    9.97,   99.87,   22.62,    7.13,              6.91
44.25301,38.83041,1990,08,10,    0.00,    9.87,   99.81,   23.13,    5.37,              6.73
44.25301,38.83041,1990,08,11,    0.00,   10.68,   99.73,   23.34,    2.86,              6.18
44.25301,38.83041,1990,08,12,    0.03,   11.70,   99.88,   23.37,    2.20,              4.92
44.25301,38.83041,1990,08,13,    0.07,   11.03,   99.98,   23.53,    3.48,              5.66
44.25301,38.83041,1990,08,14,    0.00,   10.86,   99.99,   23.54,    4.49,              5.81
44.25301,38.83041,1990,08,15,    0.00,    9.30,   99.91,   23.05,    5.76,              6.12
44.25301,38.83041,1990,08,16,    0.00,   10.66,  100.09,   23.45,    2.88,              5.83
44.25301,38.83041,1990,08,17,    0.00,   10.29,  100.11,   23.89,    4.44,              6.18
44.25301,38.83041,1990,08,18,    0.00,   10.79,   99.85,   24.23,    5.32,              5.49
44.25301,38.83041,1990,08,19,    0.01,   10.43,   99.74,   23.97,    5.91,              6.28
44.25301,38.83041,1990,08,20,    1.13,   10.71,   99.87,   23.38,    3.73,              5.11
44.25301,38.83041,1990,08,21,   16.68,   12.15,   99.98,   21.83,    2.00,              5.07
44.25301,38.83041,1990,08,22,    0.00,   11.01,   99.61,   22.89,    3.47,              5.59
44.25301,38.83041,1990,08,23,    0.00,   11.12,   99.70,   23.27,    3.71,              5.15
44.25301,38.83041,1990,08,24,    0.01,    9.37,   99.93,   21.76,    4.54,              5.16
44.25301,38.83041,1990,08,25,    0.20,    8.86,  100.15,   20.60,    5.29,              4.72
44.25301,38.83041,1990,08,26,    0.00,    8.15,  100.09,   20.69,    4.26,              6.18
44.25301,38.83041,1990,08,27,    0.00,    8.98,   99.94,   21.27,    2.86,              6.39
44.25301,38.83041,1990,08,28,    0.00,    7.96,  100.40,   20.71,    7.82,              6.32
44.25301,38.83041,1990,08,29,    0.00,    7.92,  100.51,   21.12,    6.53,              6.19
44.25301,38.83041,1990,08,30,    0.00,    8.25,  100.15,   20.91,    4.38,              6.08
44.25301,38.83041,1990,08,31,    0.22,    8.45,   99.78,   21.65,    3.79,              5.64
44.25301,38.83041,1990,09,01,    0.03,    9.34,  100.04,   21.64,    4.80,              4.56
44.25301,38.83041,1990,09,02,    0.00,    9.65,  100.20,   21.95,    2.76,              4.94
44.25301,38.83041,1990,09,03,    0.00,   10.51,   99.52,   21.66,    3.33,              5.39
44.25301,38.83041,1990,09,04,    0.34,   12.00,   98.90,   20.94,    4.01,              3.44
44.25301,38.83041,1990,09,05,    1.90,    8.21,   99.86,   18.93,    5.25,              5.82
44.25301,38.83041,1990,09,06,    0.00,    7.62,   99.80,   20.30,    2.74,              6.00
44.25301,38.83041,1990,09,07,    0.00,    9.56,   99.77,   21.43,    2.56,              5.44
44.25301,38.83041,1990,09,08,    0.00,    9.43,  100.17,   21.65,    2.09,              5.44
44.25301,38.83041,1990,09,09,    0.00,   10.04,  100.09,   21.15,    3.12,              4.84
44.25301,38.83041,1990,09,10,    6.48,    9.64,  100.05,   18.72,    4.08,              3.68
44.25301,38.83041,1990,09,11,    0.00,    6.81,   99.79,   19.02,    2.44,              5.30
44.25301,38.83041,1990,09,12,    0.60,    9.47,   99.12,   20.88,    3.14,              3.31
44.25301,38.83041,1990,09,13,   11.68,   10.59,   98.85,   18.13,    3.64,              0.95
44.25301,38.83041,1990,09,14,    5.49,    8.28,  100.18,   15.09,    4.54,              3.73
44.25301,38.83041,1990,09,15,    0.57,    7.17,  100.75,   15.75,    3.54,              4.64
44.25301,38.83041,1990,09,16,    0.00,    7.04,  100.69,   16.75,    3.63,              5.01
44.25301,38.83041,1990,09,17,    0.12,    8.14,  100.22,   18.14,    3.21,              3.81
44.25301,38.83041,1990,09,18,    0.96,    8.92,  100.32,   17.19,    3.31,              2.93
44.25301,38.83041,1990,09,19,    0.06,    7.45,   99.90,   17.31,    1.89,              4.58
44.25301,38.83041,1990,09,20,   21.37,    9.37,   99.61,   16.12,    5.89,              1.08
44.25301,38.83041,1990,09,21,    6.16,    8.62,  100.10,   15.97,    3.65,              3.81
44.25301,38.83041,1990,09,22,    0.00,    9.60,   99.85,   18.23,    4.17,              4.94
44.25301,38.83041,1990,09,23,    0.00,    9.97,  100.30,   20.01,    2.64,              4.73
44.25301,38.83041,1990,09,24,    0.00,    8.60,  100.01,   21.27,    3.09,              4.76
44.25301,38.83041,1990,09,25,    0.00,    9.46,   99.60,   23.36,    1.81,              4.68
44.25301,38.83041,1990,09,26,    0.88,   11.94,  100.24,   18.99,    4.55,              1.90
44.25301,38.83041,1990,09,27,    0.16,    8.47,  100.44,   17.96,    2.53,              4.04
44.25301,38.83041,1990,09,28,    4.28,   10.18,  100.20,   16.60,    5.09,              0.68
44.25301,38.83041,1990,09,29,    1.26,    8.26,  100.45,   13.47,    7.43,              2.09
44.25301,38.83041,1990,09,30,    0.15,    6.52,  100.65,   13.25,    6.78,              4.21
44.25301,38.83041,1990,10,01,    0.26,    6.73,  100.58,   13.97,    2.95,              3.39
44.25301,38.83041,1990,10,02,    0.25,    8.71,  100.10,   16.57,    5.97,              3.61
44.25301,38.83041,1990,10,03,    7.89,    8.52,  100.25,   15.08,    6.04,              1.79
44.25301,38.83041,1990,10,04,    0.04,    4.96,  100.91,   11.34,    7.82,              4.05
44.25301,38.83041,1990,10,05,    0.00,    6.65,  101.00,   14.43,    2.39,              4.44
44.25301,38.83041,1990,10,06,    0.00,    7.35,  100.59,   15.37,    2.43,              4.29
44.25301,38.83041,1990,10,07,    0.13,    9.36,  100.47,   15.51,    4.71,              2.82
44.25301,38.83041,1990,10,08,    0.01,    9.37,  100.41,   17.31,    3.57,              4.09
44.25301,38.83041,1990,10,09,    0.00,    7.88,  100.13,   18.87,    3.38,              4.27
44.25301,38.83041,1990,10,10,    1.05,   10.52,  100.16,   17.70,    3.15,              1.35
44.25301,38.83041,1990,10,11,   12.99,    8.84,  100.60,   14.15,    4.94,              0.50
44.25301,38.83041,1990,10,12,    1.04,    7.95,  101.07,   13.94,    3.39,              3.47
44.25301,38.83041,1990,10,13,    1.38,    6.96,  100.90,   12.93,    6.01,              2.12
44.25301,38.83041,1990,10,14,    0.00,    4.25,  101.45,    8.18,   10.23,              3.55
44.25301,38.83041,1990,10,15,    0.00,    5.39,  101.61,   10.99,    3.98,              3.70
44.25301,38.83041,1990,10,16,    0.00,    5.57,  101.21,   12.35,    4.15,              3.94
44.25301,38.83041,1990,10,17,    0.00,    5.86,  101.02,   13.20,    5.62,              3.80
44.25301,38.83041,1990,10,18,    0.00,    6.70,  100.69,   13.80,    2.95,              3.72
44.25301,38.83041,1990,10,19,    0.01,    7.64,  100.28,   17.11,    2.44,              3.14
44.25301,38.83041,1990,10,20,    0.67,    9.50,  100.13,   15.30,    4.03,              1.23
44.25301,38.83041,1990,10,21,    0.05,    9.85,   99.85,   16.92,    5.60,              2.39
44.25301,38.83041,1990,10,22,    1.50,    8.84,   99.78,   15.34,    5.63,              1.20
